id,title,url,company,location,easy_apply,age,query,search_location,viewed,applied,date_applied,merged_doc_id__jobs_to_cover_letters,merged_doc_url__jobs_to_cover_letters,link_to_merged_doc__jobs_to_cover_letters,document_merge_status__jobs_to_cover_letters,skip,recruiter
pj_3b3f21e5ab225e44,Ember JavaScript Developer,/pagead/clk?mo=r&ad=-6NYlbfkN0B-PqtJkJBxcFK4No1YgA2WlSENonneqf5M1RRYe1Adl3smpBg2O2tXuJAvtH0CfCjLOO2cyNcLj_1NkRzqLoQHFRngC2VsA5F5XzVVH93NFoB2ewathpZoN6hPe1-_GrRe2TwWrdf0-02_dEHUZ7joaC94t93uob46gWLrrB-v9jg8vq_qiIxZyaDrar6kLGiIAsNMJQ3OBV8mNQq_jccb_90ELsWZy5QQAxBuc0uYR0jwReOC4m_9BTkHW16gZG9JoFY0KiCiS-Ssnl6AvJuxgAPNNUSNFgFv2EQHPdfmP4O8emhA0hrN7HJB8u9dBHAtXtQ68VAnlH2auIA2Da_0DvysW1NBNl4Tr00OpSS74ff7imXH-JbDPCaI67lxfy1LPl61uOvmK4xZeGsY6Y5lr1OhA9fwHUKV3fuOd4w5cZqMGgPORjVwRiNW3FwgT1I8XgdterBYnofkIInoFK0e-acD4WMB1Y2VwOTsfTLzidPTmDREBS_HvIDdhkE984MAGWOV6UP8I95w_Xu6e9LNfObqXu8tJ0hzQKyH5yRvfIhWOUGC7c-Xf3SWgtZN9pOsobUr82us8gcA5w5IxeOHDb3BlrSOxtaWtQvJhPslxkAITWmO7Dpenam60jCKV_-Zj1ieh5wyrA==&p=2&sk=&fvj=0,Execu | Search,"New York, NY",FALSE,14 days ago,ruby on rails,new york city,TRUE,TRUE,23/06/2016 11:48,,,,,,
p_a7d8301d9efe3a03,Programmer/Web Developer,/rc/clk?jk=a7d8301d9efe3a03&fccid=a259fc86b1470609,NYU Langone Medical Center,"New York, NY",FALSE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,,
p_fc35cf3e2b58834b,Ruby on Rails Developer,/rc/clk?jk=fc35cf3e2b58834b&fccid=f9df97a5b5c014ec,Green Key Resources,"New York, NY 10016 (Gramercy area)",FALSE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,,
p_08f5bc8cfa794fc9,DevOps Engineer,/rc/clk?jk=08f5bc8cfa794fc9&fccid=bd77e92c73ca8df3,Rent the Runway,"New York, NY 10013 (Tribeca area)",TRUE,7 days ago,ruby on rails,new york city,TRUE,TRUE,23/06/2016 11:50,,,,,,
p_252776ce0313b137,Programming Instructor,/rc/clk?jk=252776ce0313b137&fccid=409ea253d014c285,Borough of Manhattan Community College,"New York, NY",TRUE,19 days ago,ruby on rails,new york city,TRUE,FALSE,,,,,,,
p_6628fcd8e75da1f2,Senior JavaScript Engineer,/rc/clk?jk=6628fcd8e75da1f2&fccid=c618ba0d5e55039b,Paperless Post,"New York, NY",TRUE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,TRUE,
p_41edb15c6a5a5eb1,Front End Software Engineer,/rc/clk?jk=41edb15c6a5a5eb1&fccid=ccd796b1d2d3e16b,Smith & Keller,"Brooklyn, NY",FALSE,8 days ago,ruby on rails,new york city,TRUE,TRUE,23/06/2016 11:51,,,,,,
p_f00aba61db5b0c43,Rails Developer,/rc/clk?jk=f00aba61db5b0c43&fccid=ccd796b1d2d3e16b,Smith & Keller,"Manhattan, NY",FALSE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,,
p_4e27ba57c7f706ce,Ruby on Rails Software Developer,/rc/clk?jk=4e27ba57c7f706ce&fccid=ccd796b1d2d3e16b,Smith & Keller,"Brooklyn, NY",FALSE,20 days ago,ruby on rails,new york city,TRUE,TRUE,23/06/2016 11:51,,,,,,
p_9611e789b6cf6735,Senior Rails Developer,/cmp/OpenTrons-Labworks/jobs/Senior-Rail-Developer-9611e789b6cf6735?r=1&fccid=68bce9a374ce222c,OpenTrons Labworks,"Brooklyn, NY",TRUE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,TRUE,
